model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=10_bs=512_lr=0$5_mffactors=256_isedgeweighttrain=True	0.0018364763361277516	0.001011542310894108	0.0029415588667209176	0.0016853270477312906	0.0025369443035722222	0.0015640271976661803	0.016263995285798468
NeuMF_seed=42_e=10_bs=256_lr=0$5_mffactors=256_drop=0_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0008109518892844596	0.00035779293056841676	0.0012346250619674308	0.0007071302298173247	0.0012071786309174643	0.0006756819000811613	0.006953447259870359
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$6_dropout_pkeep=0$5	0.0017533051069629044	0.0008617307854196483	0.00271393963203038	0.001708898055391868	0.0026165434081460667	0.0016395816226438722	0.016971125515615793
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.003048884726460657	0.002630276585197033	0.007859715090121691	0.0020624631703005302	0.0026532385818431527	0.0017208236769265285	0.020153211549793753
MultiDAE_seed=42_e=10_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$7_dropout_pkeep=0$0	0.015473216974035078	0.010661087259496216	0.029954822235317227	0.011325869180907484	0.017893094453728844	0.010640413236331137	0.10017678255745432
ConvMF_seed=42_e=5_bs=32_lr=0$05_embedding_size=100_cnn_channels=1-32-32_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$03_l_b=0$04	0.0008109518892844596	0.00035779293056841676	0.0012346250619674308	0.0007071302298173247	0.0012071786309174643	0.0006756819000811613	0.006953447259870359
ConvNeuMF_seed=42_e=5_bs=16_lr=0$05_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$08_l_b=0$07	0.005912512616734831	0.004561607318236664	0.011840035169440002	0.0049734826163818505	0.005909095406466659	0.004150385050848253	0.044667059516794345
EASER_neighborhood=8444_l2_norm=3$72	0.1350680035973592	0.10581724986203478	0.22723672026264838	0.0824042427813789	0.1307928389104346	0.08107005333000496	0.4280494991160872
