model	nDCG	MAP	MRR	Precision	Recall	F1	HR
NGCF_seed=42_e=40_bs=256_lr=0$001942393303022744_factors=64_l_w=0$030200481468703928_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.005307349076191245	0.002583387518771384	0.007362280521330263	0.00180437508708374	0.007700187004593701	0.0027310549996566007	0.01790441688727881
NGCF_seed=42_e=30_bs=256_lr=3$0469943185258545e-05_factors=64_l_w=0$02558691951254582_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0012472264097879012	0.000578952053628102	0.0017319988234019165	0.00045283544656541736	0.001823757188115555	0.0006761110264529555	0.004528354465654173
NGCF_seed=42_e=40_bs=256_lr=5$035669732669714e-05_factors=64_l_w=0$0018619598259769967_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.008021427385270095	0.003737274715747615	0.011943797536663636	0.002138776647624356	0.009877749647243571	0.0033218497626058344	0.020969764525567786
NGCF_seed=42_e=30_bs=256_lr=0$0011965406767967112_factors=64_l_w=2$859812990073557e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.004174023400754571	0.0018397172625959027	0.004749160125710217	0.0016720078027030794	0.007273205902292151	0.0025628711163617536	0.016650411035251497
NGCF_seed=42_e=40_bs=256_lr=0$01749859765919991_factors=64_l_w=0$010072709777950403_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0009948340526129739	0.0005372265017660029	0.001725889138805399	0.0002856346662951094	0.0011450375982910467	0.00041879523956067985	0.002856346662951094
NGCF_seed=42_e=30_bs=256_lr=0$21276681877561088_factors=64_l_w=0$08818488264033014_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.001084989013026938	0.00047370513390438155	0.0012229045164115528	0.0004458687473874878	0.001964630820698816	0.000666961937888085	0.004458687473874878
NGCF_seed=42_e=40_bs=256_lr=1$772160281135571e-05_factors=64_l_w=0$03357613613128024_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0007271027251712857	0.00026755442319048285	0.0008451822510621451	0.00018113417862616692	0.0009897990635067409	0.0002875880331641792	0.0018113417862616692
NGCF_seed=42_e=30_bs=256_lr=0$03597928443985812_factors=64_l_w=0$00033410136073770035_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0010597399342963134	0.0004522770048059166	0.001278472236045038	0.0004110352514978404	0.0017876326605600677	0.000618981704899716	0.004110352514978403
NGCF_seed=42_e=40_bs=256_lr=0$24213955017153158_factors=64_l_w=0$0020264853331120316_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.000903723230395282	0.00036536743256124617	0.0010779584696262972	0.00032743486136268635	0.0014791795218853877	0.0005073871073378249	0.0032743486136268636
NGCF_seed=42_e=30_bs=256_lr=0$002636640880552307_factors=64_l_w=0$013151350615840154_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0013388431314543987	0.0006357389456177251	0.0018907123947530802	0.00044586874738748787	0.002021853218383802	0.0006829062480775619	0.0043890204820955835
NGCF_seed=42_e=30_bs=256_lr=0$09038129734418676_factors=64_l_w=0$11374633992844178_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0015659842660693682	0.0007128619642553041	0.001967567250763572	0.0005643026334122892	0.00250480732402148	0.0008756239209309755	0.005643026334122892
NGCF_seed=42_e=30_bs=256_lr=0$0006430174272401934_factors=64_l_w=0$000459204515822773_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0073007267555337116	0.0034431307240280346	0.011018581181950277	0.0018601086805071759	0.008637745953220092	0.0028892976268122673	0.01853141981329246
NGCF_seed=42_e=40_bs=256_lr=1$1137518726255443e-05_factors=64_l_w=0$00015262835258105295_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0006923028063500384	0.00024066904640263986	0.0007292088262549458	0.0002090009753378849	0.0011142965580752957	0.0003294183714275675	0.002090009753378849
NGCF_seed=42_e=30_bs=256_lr=9$546028691264796e-05_factors=64_l_w=0$001281074872271641_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.007011972432268695	0.003368282940875946	0.011047857905876576	0.0017765082903720218	0.007926344520611616	0.0027396887280827864	0.017625748920161628
