model	nDCG	MAP	MRR	Precision	Recall	F1	HR
NGCF_seed=42_e=30_bs=256_lr=9$872809363131766e-05_factors=64_l_w=1$4963652712835933e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.006479670735533491	0.002011994240511895	0.010366396199961218	0.0007802703079281036	0.007104050264390164	0.0013553482636956373	0.015326738191444894
NGCF_seed=42_e=40_bs=256_lr=0$001110085599014871_factors=64_l_w=0$004980552645436873_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0043618107777205215	0.0013481621491767206	0.004090214821945786	0.00104152152710046	0.009441624596120317	0.0018110584394825816	0.02062142956667131
NGCF_seed=42_e=40_bs=256_lr=0$0001582147915994618_factors=64_l_w=0$0003824454948094203_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.007094870617920982	0.002156982431802403	0.010337441070702875	0.0010763550229901072	0.009412190892900792	0.001857740015878368	0.020969764525567786
NGCF_seed=42_e=40_bs=256_lr=0$010515327907553211_factors=64_l_w=8$120048406931544e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0010031830093325906	0.00030798338327137423	0.0011528428664664514	0.00020900097533788493	0.001857138031723513	0.000359166337502932	0.004180019506757698
NGCF_seed=42_e=30_bs=256_lr=0$00025275529822272745_factors=64_l_w=0$0005955637923128424_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.002799085452050059	0.0008192028649246051	0.0027313212877877863	0.0006409363243695138	0.0060308100386580335	0.0011033391426404113	0.01274905949561098
NGCF_seed=42_e=40_bs=256_lr=0$0069159011203493_factors=64_l_w=7$091056660883159e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0009354730662148549	0.00020505737474726712	0.0007791582115343175	0.0002717012679392504	0.002294113198739087	0.00046727654660689633	0.005434025358785008
NGCF_seed=42_e=40_bs=256_lr=4$790760488514949e-05_factors=64_l_w=0$0008230164748805006_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.005887652305250112	0.0018545105215865805	0.008733595334335745	0.0008394872509405045	0.007387862651295546	0.0014486400616219037	0.016789745018810087
NGCF_seed=42_e=30_bs=256_lr=0$0002980972437560465_factors=64_l_w=0$0057548094333298725_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0031607146725517892	0.0009599525123204675	0.0029050062540311966	0.0007454368120384563	0.006826101627558045	0.0012931014835130558	0.014839069248989829
NGCF_seed=42_e=30_bs=256_lr=4$778494763230385e-05_factors=64_l_w=0$0001929010060785181_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.003887301314824986	0.001155724783225866	0.005235752466263071	0.000651386373136408	0.005722729463498588	0.0011205603446123164	0.012818726487390275
NGCF_seed=42_e=40_bs=256_lr=0$0045705599697671235_factors=64_l_w=4$837803239302395e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0008531453054951341	0.00020836490017783697	0.000774140438710589	0.00024383447122753243	0.001999742512839907	0.00042109098255392884	0.004876689424550648
