model	nDCG	MAP	MRR	Precision	Recall	F1	HR
NGCF_seed=42_e=40_bs=256_lr=0$001942393303022744_factors=64_l_w=0$030200481468703928_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.008841338653933644	0.0014292738948067825	0.008469366841321062	0.0009739445450745437	0.021715777756634223	0.0018261203774144086	0.047164553434582694
NGCF_seed=42_e=30_bs=256_lr=3$0469943185258545e-05_factors=64_l_w=0$02558691951254582_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.002325269997413904	0.0003741908583007132	0.002103630738837513	0.0003023547443221402	0.005893222792051595	0.0005550686244931869	0.014630068273651944
NGCF_seed=42_e=40_bs=256_lr=5$035669732669714e-05_factors=64_l_w=0$0018619598259769967_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.010933857778357101	0.0018170326405241991	0.013038482474427938	0.0008987041939529051	0.020477588246246164	0.0016858869355758945	0.0429148669360457
NGCF_seed=42_e=30_bs=256_lr=0$0011965406767967112_factors=64_l_w=2$859812990073557e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0066457725538245195	0.001184635523364755	0.005633247752028159	0.0007607635502299012	0.016558426452321518	0.0014223257703118333	0.03720217361014352
NGCF_seed=42_e=40_bs=256_lr=0$01749859765919991_factors=64_l_w=0$010072709777950403_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.002153799475956931	0.0003199958964307246	0.0021146508475755315	0.0002647345687613209	0.005625966369487339	0.0004916593315731712	0.012958060470948864
NGCF_seed=42_e=30_bs=256_lr=0$21276681877561088_factors=64_l_w=0$08818488264033014_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0022856724067743584	0.0003673764098418373	0.0016600956464476097	0.00031628814267799915	0.006481171805297485	0.0005883739689106967	0.01581440713389996
NGCF_seed=42_e=40_bs=256_lr=1$772160281135571e-05_factors=64_l_w=0$03357613613128024_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0014960211028286787	0.0001925622653865169	0.0011087732201083256	0.0001685941201058938	0.004013164715756328	0.000314430368721657	0.008360039013515397
NGCF_seed=42_e=30_bs=256_lr=0$03597928443985812_factors=64_l_w=0$00033410136073770035_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0018485767311936408	0.00030531000739031133	0.0015509979189782936	0.00022572105336491572	0.004820278029836341	0.00042126710799287817	0.01121638567646649
NGCF_seed=42_e=40_bs=256_lr=0$24213955017153158_factors=64_l_w=0$0020264853331120316_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.00204102400593292	0.0003060513181894165	0.001482943233342497	0.0002744879476104222	0.005814998588574178	0.0005120022892324524	0.013515396405183224
NGCF_seed=42_e=30_bs=256_lr=0$002636640880552307_factors=64_l_w=0$013151350615840154_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.002905278169237404	0.00040863197419965737	0.0023754021462125768	0.00037898843527936466	0.008276758119791701	0.000706142480006591	0.01853141981329246
NGCF_seed=42_e=30_bs=256_lr=0$09038129734418676_factors=64_l_w=0$11374633992844178_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.002652566970644308	0.0004350808647167403	0.0023492365899208637	0.0003121081231712415	0.006715706163595254	0.0005832666234627454	0.015535739166782778
NGCF_seed=42_e=30_bs=256_lr=0$0006430174272401934_factors=64_l_w=0$000459204515822773_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.009692952111184074	0.0015086785625547247	0.01176957841962225	0.0007858436672704474	0.01807230937263601	0.0014729578213606806	0.03817751149505364
NGCF_seed=42_e=40_bs=256_lr=1$1137518726255443e-05_factors=64_l_w=0$00015262835258105295_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0014839294950189025	0.00019227177276410655	0.0009869624709262107	0.00018113417862616692	0.00426661433767467	0.00033694904399789773	0.009056708931308347
NGCF_seed=42_e=30_bs=256_lr=9$546028691264796e-05_factors=64_l_w=0$001281074872271641_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.008728956426446171	0.0014070973997784507	0.011616752349188728	0.0006632297617388881	0.014832477494245513	0.0012397441802440947	0.03253448516093075
NGCF_seed=42_e=40_bs=256_lr=0$0008935525175983718_factors=64_l_w=0$8359090530494524_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0011414792732524616	0.00017501963655037117	0.000818131046078947	0.00016580744043472203	0.003327861156072813	0.00030557664018575733	0.008290372021736101
NGCF_seed=42_e=30_bs=256_lr=0$0005481149992562125_factors=64_l_w=1$13868540210282e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.006138233299629267	0.001054975057297745	0.004921410311970624	0.0007161766754911524	0.015899367471661402	0.0013421581005797988	0.03490316288142678
NGCF_seed=42_e=40_bs=256_lr=0$875490489214072_factors=64_l_w=0$0026214844710913355_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0015587695242694848	0.00024770941116337346	0.0013320946700245216	0.00021178765500905672	0.004012420556372705	0.00038531048309667305	0.010589382750452835
NGCF_seed=42_e=30_bs=256_lr=0$0008878407227229954_factors=64_l_w=0$024031640767099717_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.005538363549706437	0.0009544919219570973	0.004543388350104204	0.0006646231015744739	0.014497038715465213	0.0012392606206446362	0.03225581719381357
NGCF_seed=42_e=30_bs=256_lr=9$872809363131766e-05_factors=64_l_w=1$4963652712835933e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.007661686835354923	0.0011716803478110482	0.010704320224757697	0.0005461892155496726	0.01197466451703912	0.0010205013505438002	0.026961125818587152
NGCF_seed=42_e=40_bs=256_lr=0$001110085599014871_factors=64_l_w=0$004980552645436873_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.00685607051250994	0.001083986727312176	0.00474987016745919	0.0008889508151038039	0.019865650878959758	0.0016674038659048479	0.04354186986205936
NGCF_seed=42_e=40_bs=256_lr=0$0001582147915994618_factors=64_l_w=0$0003824454948094203_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.008482305075295174	0.001347047217833441	0.010711299384639935	0.0007008499372997073	0.01516440753679435	0.0013102269294818472	0.033858158004737356
NGCF_seed=42_e=40_bs=256_lr=0$010515327907553211_factors=64_l_w=8$120048406931544e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0017267474130622147	0.0002519441419604073	0.0013584532844171245	0.00022154103385815802	0.004800064819919913	0.0004152202285244866	0.0110770516929079
NGCF_seed=42_e=30_bs=256_lr=0$00025275529822272745_factors=64_l_w=0$0005955637923128424_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.004973001702146134	0.0007325837557916947	0.0033361687629620226	0.0006576564023965446	0.01502832802419637	0.001228102286257129	0.03225581719381357
NGCF_seed=42_e=40_bs=256_lr=0$0069159011203493_factors=64_l_w=7$091056660883159e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0019409372343180916	0.0002587324956538273	0.00106093703879087	0.0002884213459662812	0.006430915314153436	0.0005412215907612995	0.014421067298314058
