model	nDCG	MAP	MRR	Precision	Recall	F1	HR
EASER_neighborhood=2810_l2_norm=6364$1119058280865	0.3069124081572258	0.31151383319058557	0.5578184408744166	0.24597411329635233	0.17000057995275164	0.16803238013131033	0.8440073962010421
EASER_neighborhood=2810_l2_norm=3519$8743557715707	0.3237271297077994	0.32711974401460026	0.576108029360677	0.2607497058329131	0.18051013920268041	0.17851028845792175	0.8623298033282905
EASER_neighborhood=2810_l2_norm=1025322$096570095	0.20388429809466194	0.2064844831864499	0.40423887434729594	0.16765842998823333	0.10827733835757779	0.10952063358826113	0.7043200537905531
EASER_neighborhood=2810_l2_norm=5582$409450602484	0.31113253920026906	0.3153341698084512	0.5628785817010729	0.24957135653050938	0.17267769813246628	0.17060539052644347	0.8485459741132964
EASER_neighborhood=2810_l2_norm=735730$1786396656	0.20477246068254504	0.20753306544784103	0.4058905458300314	0.16821314506639773	0.1087442624320417	0.10993380629344822	0.7053286266599429
EASER_neighborhood=2810_l2_norm=620368$9772137848	0.2053490686755822	0.20815221712599422	0.40706854826874994	0.168549336022861	0.10903560896269496	0.11020776885711354	0.7058329130946378
EASER_neighborhood=2810_l2_norm=259858$3824834978	0.21004696112897425	0.21352296104187177	0.4162674399058665	0.17160867372667676	0.11175834574423331	0.11267761340190346	0.7157505463103042
EASER_neighborhood=2810_l2_norm=54984$899991488346	0.23460735692241547	0.2406329261687305	0.4645077070442678	0.18767860144562112	0.1240242036221201	0.12461206391362609	0.7500420238695579
EASER_neighborhood=2810_l2_norm=20669$050984605827	0.2655125825912621	0.27195576420740314	0.5100140212974302	0.21111111111111114	0.14396442314414254	0.14284572302000662	0.7969406622961842
EASER_neighborhood=2810_l2_norm=4919648$575609899	0.20212661347089847	0.2047127435049775	0.40087763182821173	0.16644814254496554	0.1071173223809333	0.10849496273235695	0.7006219532694571
EASER_neighborhood=2810_l2_norm=15$930101258108873	0.2779164000793309	0.27728139583283307	0.5170532862665994	0.2245755589174651	0.16320007645327783	0.15860997925547138	0.8443435871575055
EASER_neighborhood=2810_l2_norm=1784992$1617147943	0.2028224737764307	0.20551489912937213	0.4023016406652312	0.16690200033619096	0.10750347280016542	0.10888110142679266	0.7019667170953101
EASER_neighborhood=2810_l2_norm=1841393$8798034496	0.20280184826171646	0.20548178031788722	0.4021968478095559	0.16690200033619096	0.10749468349411409	0.10887585868283223	0.7019667170953101
EASER_neighborhood=2810_l2_norm=16647$54849240963	0.2735586131438273	0.2799542273344593	0.5204124609444831	0.21770045385779122	0.1489440269488014	0.14767993335405208	0.8095478231635569
EASER_neighborhood=2810_l2_norm=71668$88255332378	0.22814850184463564	0.23360578141717825	0.4519397017505943	0.18340897629853756	0.12067628620496912	0.12142769207835467	0.7428139183055976
EASER_neighborhood=2810_l2_norm=35141$71317236514	0.2476715609146747	0.25434760277170765	0.4860392036009787	0.1970919482265927	0.13203232845343582	0.13197785492200395	0.7737434863002185
EASER_neighborhood=2810_l2_norm=14332$005274332103	0.2791479733935937	0.2851728581834482	0.5265728266988984	0.222407127248277	0.15280604498520017	0.1512085647585135	0.8172802151622122
EASER_neighborhood=2810_l2_norm=148929$2743591879	0.21538736185049584	0.21968680210359484	0.42706497290460976	0.17502101193477895	0.11414460797785589	0.11518603384565297	0.7224743654395697
EASER_neighborhood=2810_l2_norm=696$7858293223413	0.34326606416039346	0.342618420596232	0.5895776801223094	0.2799798285426122	0.19654107997851306	0.19316701094525973	0.8823331652378551
