model	nDCG	MAP	MRR	Precision	Recall	F1	HR
EASER_neighborhood=2810_l2_norm=6364$1119058280865	0.3008987071097611	0.2619069257966077	0.5630632434473598	0.19088922507984535	0.25205039593767153	0.18041526325662874	0.9169608337535721
EASER_neighborhood=2810_l2_norm=3519$8743557715707	0.3190251939870751	0.2764091295804316	0.5809119958401039	0.20346276685157172	0.26903365493485704	0.1925619499035005	0.9297360900991763
EASER_neighborhood=2810_l2_norm=1025322$096570095	0.19828822241886682	0.175709453893083	0.4118009517942423	0.13068582955118507	0.16378773140799835	0.1198345522633256	0.8120692553370314
EASER_neighborhood=2810_l2_norm=5582$409450602484	0.3053682287077305	0.265430771165028	0.5680512758804789	0.19386451504454524	0.25622293797926027	0.18335652762982238	0.9204908387964363
EASER_neighborhood=2810_l2_norm=735730$1786396656	0.19903188184175544	0.17644893197399877	0.4134359488813719	0.13097159186417887	0.16423810316153628	0.12015223754368062	0.812237350815263
EASER_neighborhood=2810_l2_norm=620368$9772137848	0.1995294912394851	0.1768868312592952	0.4146105270313907	0.13116490166414524	0.16448352601494423	0.12034262205796034	0.8125735417717264
EASER_neighborhood=2810_l2_norm=259858$3824834978	0.2038414672700901	0.18074523521241972	0.4235286312713015	0.1332156664985712	0.16781859831052734	0.12249707382279307	0.8198016473356867
EASER_neighborhood=2810_l2_norm=54984$899991488346	0.22675840985037776	0.20072662009541897	0.47155503901006307	0.14407463439233484	0.18490884491463794	0.1336734637280567	0.8495545469826862
EASER_neighborhood=2810_l2_norm=20669$050984605827	0.25744154451753815	0.22619371422339746	0.5160556033840601	0.16215330307614725	0.2119613887907245	0.15198110468741888	0.88283745167255
EASER_neighborhood=2810_l2_norm=4919648$575609899	0.1967834874804278	0.1743869208463256	0.40858574046684987	0.13000504286434694	0.16273652029989766	0.11915322770720656	0.8103883005547151
EASER_neighborhood=2810_l2_norm=15$930101258108873	0.2770850165063153	0.23611875759934378	0.5220825093717786	0.17602958480416878	0.24182764458091358	0.17025519787592586	0.9157841654059505
EASER_neighborhood=2810_l2_norm=1784992$1617147943	0.19751506057358062	0.1749968858802595	0.40999764544474687	0.13037485291645656	0.16334087937478506	0.11953699677218656	0.8113968734241049
EASER_neighborhood=2810_l2_norm=1841393$8798034496	0.1974943949966522	0.17497107140841364	0.4098818286804326	0.13037485291645656	0.1633385791208724	0.11953532225784401	0.8112287779458732
EASER_neighborhood=2810_l2_norm=16647$54849240963	0.26556031676455666	0.2330764637036202	0.5259452746970291	0.16736426290132797	0.21908894069513166	0.15716827162386643	0.8883846024541939
EASER_neighborhood=2810_l2_norm=71668$88255332378	0.2206827964486063	0.19548198883572782	0.45883042614846925	0.14117498739283912	0.18002025935279228	0.13063890935932787	0.8403092956799462
EASER_neighborhood=2810_l2_norm=35141$71317236514	0.2395208616680622	0.2114477866730099	0.4923028201818196	0.15128593040847202	0.19559843172902386	0.14094923388811173	0.8628340897629854
EASER_neighborhood=2810_l2_norm=14332$005274332103	0.2711146077358419	0.23775525915467843	0.5318666248028482	0.1710791729702471	0.22389017832558278	0.1607757976244396	0.8929231803664481
EASER_neighborhood=2810_l2_norm=148929$2743591879	0.20903223712489458	0.18523755990252358	0.4344096504006825	0.13557740796772566	0.17173956150929515	0.12498080817728649	0.8273659438561103
EASER_neighborhood=2810_l2_norm=696$7858293223413	0.3408574477454116	0.2929259378742788	0.5940770306764579	0.2199697428139183	0.2932760821549033	0.20911355358699224	0.9445284921835603
EASER_neighborhood=2810_l2_norm=2988$7076376245245	0.3222682736169787	0.2793136220359647	0.5820685823849909	0.2057992939989914	0.2722682258333623	0.1948578094620495	0.9314170448814927
MultiDAE_seed=42_e=20_bs=512_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$003_dropout_pkeep=0$0	0.3055964018504532	0.2554623037295188	0.5316176577369823	0.19938645150445455	0.2751041377376429	0.19246161727793165	0.9344427634896622
MultiDAE_seed=42_e=30_bs=256_intermediate_dim=600_latent_dim=300_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.304467736554367	0.2537741348258746	0.5294870617436538	0.198613212304589	0.27484485952214843	0.19229800075940232	0.9324256177508825
MultiDAE_seed=42_e=30_bs=32_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.2912340519461978	0.24180630141440804	0.5137172494836868	0.19073793914943685	0.26562181586314704	0.18540368401107038	0.9273827534039334
MultiDAE_seed=42_e=20_bs=512_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$0001_dropout_pkeep=0$0	0.18752971621558828	0.1659761410232959	0.37469993305414817	0.1305009245251303	0.1574874315810574	0.11808541824070173	0.794251134644478
MultiDAE_seed=42_e=20_bs=128_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$0005_dropout_pkeep=0$0	0.30316342071329977	0.25628997176539153	0.534816128164231	0.1979660447133972	0.2681207184015496	0.18965575311242544	0.9263741805345436
MultiDAE_seed=42_e=40_bs=512_intermediate_dim=600_latent_dim=300_reg_lambda=0$01_lr=0$0005_dropout_pkeep=0$0	0.3013618253552171	0.25155769644499504	0.5235870566332551	0.19703311480921165	0.2720376990525415	0.19036751260727383	0.9324256177508825
MultiDAE_seed=42_e=40_bs=512_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$0001_dropout_pkeep=0$0	0.22788338020326235	0.19949716316147154	0.44419745035327723	0.1520255505126912	0.1928998738422944	0.14170859175052486	0.8497226424609178
MultiDAE_seed=42_e=40_bs=256_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$0005_dropout_pkeep=0$0	0.3026853482437599	0.25272641756358616	0.5240276990945208	0.1974785678265255	0.2742681237366056	0.1914832194379771	0.9322575222726509
MultiDAE_seed=42_e=30_bs=256_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$0001_dropout_pkeep=0$0	0.24440487302846206	0.2128857094076601	0.4676646309058383	0.16193477895444613	0.2080452236435369	0.15157857661871196	0.8714069591527988
MultiDAE_seed=42_e=40_bs=64_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.30219397919769325	0.25312343090557465	0.5329232175511073	0.1970835434526811	0.27086454977358554	0.19017788041642658	0.9322575222726509
MultiDAE_seed=42_e=40_bs=32_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.29119000541402007	0.24178137321949217	0.513472339762915	0.1907295343755253	0.2655937450169456	0.18538696793488738	0.9273827534039334
MultiDAE_seed=42_e=20_bs=512_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.29852522597542164	0.2512530653485425	0.5214575447741571	0.19592368465288287	0.2678851112281616	0.18880660329553667	0.9263741805345436
MultiDAE_seed=42_e=20_bs=64_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$003_dropout_pkeep=0$0	0.287810123271242	0.23862873828479111	0.5103930835943579	0.18622457555891744	0.26334803346982155	0.18277108516318424	0.9277189443603967
MultiDAE_seed=42_e=20_bs=256_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$003_dropout_pkeep=0$0	0.2997730413269166	0.2507939099563856	0.5251189529441864	0.19652882837451674	0.2701508286858909	0.18970993018010404	0.9324256177508825
MultiDAE_seed=42_e=20_bs=64_intermediate_dim=600_latent_dim=300_reg_lambda=0$01_lr=0$0001_dropout_pkeep=0$0	0.28165066958572216	0.2397774744451147	0.5084466981127879	0.18568667002857625	0.24744956980884447	0.17694997420196454	0.9083879643637586
MultiDAE_seed=42_e=30_bs=512_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$003_dropout_pkeep=0$0	0.30554967782463555	0.2554210324878331	0.5312488631974189	0.19940326105227768	0.27510805657410303	0.19247088726211825	0.9344427634896622
