model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.0009801966635886784	0.00029151132309775476	0.0010454530164546163	0.0002508011704054619	0.0019755015470495478	0.0004271419301798739	0.005016023408109238
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0006350973830894677	0.00016099943939782438	0.0005624589575552425	0.00014978403232548422	0.0013771947866973641	0.0002606310872690364	0.0029260136547303887
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.001976756215357383	0.000600173066300592	0.0019662053321644222	0.00048766894245506486	0.00409396694909444	0.0008354292684107712	0.009683711857322001
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.004198501898478164	0.0010347060292344474	0.0040387104436547935	0.0008882541451860109	0.008382349217225074	0.0015427517372070096	0.017556081928382334
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.0032755199918058373	0.0009723386598810424	0.002983757365808452	0.000776786958339139	0.006954615097682759	0.0013437994943949344	0.015117737216107008
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.0006350973830894677	0.00016099943939782438	0.0005624589575552425	0.00014978403232548422	0.0013771947866973641	0.0002606310872690364	0.0029260136547303887
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.0008409614630634337	0.00023876905561162246	0.0009711768205182842	0.0001846175282151317	0.0016680444244189542	0.00031764450043421095	0.0036923505643026333
EASER_neighborhood=10025_l2_norm=2$72	0.08300980336055493	0.025403970222507927	0.10763954715167492	0.01231015744740142	0.1114499070484737	0.021267731230079537	0.20544795875714086
