model	nDCG	MAP	MRR	Precision	Recall	F1	HR
GeneralizedMF_seed=42_e=15_bs=512_lr=0$07_mffactors=256_isedgeweighttrain=True	0.0016444936612379202	0.00026089720850287144	0.0012392745122678387	0.00022711439320050159	0.004669870932942661	0.0004221057566626971	0.011286052668245785
NeuMF_seed=42_e=10_bs=256_lr=0$08_mffactors=256_drop=0$3_batch_eval=256_mftrain=True_mlptrain=True_m=8	0.0010539954469330917	0.0001507847609210923	0.0006860510677064355	0.00014212066322976175	0.003088994672691991	0.0002639515366263749	0.007036366169708792
MultiVAE_seed=42_e=10_bs=256_intermediate_dim=800_latent_dim=400_reg_lambda=0$6_lr=0$09_dropout_pkeep=0$5	0.0029853571235532567	0.00047893365839216735	0.0022265241293851438	0.00038177511495053644	0.008372285331004696	0.0007148117353720458	0.018949421763968233
MultiDAE_seed=42_e=5_bs=1024_intermediate_dim=600_latent_dim=200_reg_lambda=0$6_lr=0$08_dropout_pkeep=0$0	0.005436219343995653	0.0008161012538867235	0.004356735969553616	0.0005852027309460778	0.013682904752906705	0.0010962512855294505	0.028633133621290233
ConvNeuMF_seed=42_e=10_bs=16_lr=0$06_embedding_size=50_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$5_l_w=0$07_l_b=0$06	0.0038987888338776542	0.0007268764394251464	0.0031710973989829668	0.00043193534903162884	0.009396609033336998	0.000809728972239831	0.020969764525567786
ConvMF_seed=42_e=10_bs=32_lr=0$07_embedding_size=100_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$4_l_w=0$05_l_b=0$03	0.0010539954469330917	0.0001507847609210923	0.0006860510677064355	0.00014212066322976175	0.003088994672691991	0.0002639515366263749	0.007036366169708792
NGCF_seed=42_e=15_bs=512_lr=0$09_factors=64_l_w=0$4_weight_size=64_node_dropout=_message_dropout=0$4_n_fold=5	0.00133782409905398	0.00019576889160269993	0.0010980731492357817	0.00015744740142120662	0.0038321955087316653	0.00029607196425192675	0.007872370071060331
EASER_neighborhood=10025_l2_norm=2$72	0.09207005348521495	0.015363511858860158	0.10949938014201181	0.006668524453114114	0.14798548212138085	0.01247755667590513	0.2644559007942037
